date,pm2_5,pm10,co,no,no2,nh3,o3,so2,Station
2022-04-23,76.36958333333332,121.97,1136.2625,7.005416666666666,30.51375,19.725,118.28625,45.18958333333333,Delhi
2022-04-24,59.375,94.57625,907.75875,1.4708333333333334,25.546666666666667,19.685,121.90625,34.04958333333334,Delhi
2022-04-25,96.49,149.89916666666667,1549.7404166666668,4.6475,46.21458333333334,24.575416666666666,100.14583333333331,55.74458333333333,Delhi
2022-04-26,128.45291666666665,199.37125,1989.9208333333331,15.0925,48.94916666666666,33.264583333333334,112.2075,69.93625,Delhi
2022-04-27,107.79333333333334,154.4358333333333,1866.1416666666669,11.78875,48.93541666666667,28.63333333333333,119.84916666666668,58.76,Delhi
2022-04-28,123.32041666666667,187.94375,2247.2145833333334,16.17833333333333,57.0825,29.98166666666667,102.08375,67.41250000000001,Delhi
2022-04-29,69.0425,111.67958333333333,1132.9254166666667,2.270833333333333,36.285833333333336,20.46875,114.15375,40.48625,Delhi
2022-04-30,76.75583333333334,122.65208333333334,1423.875,2.9091666666666662,44.02333333333333,20.93875,94.35833333333332,46.29333333333333,Delhi
2022-05-01,108.5124,129.6308,1032.8672,0.6524,28.3512,20.3584,153.0224,48.5036,Delhi
2022-05-02,76.0275,93.18291666666666,834.4641666666666,0.7970833333333333,28.488333333333333,16.656666666666666,140.63750000000002,56.52458333333333,Delhi
2022-05-03,127.56791666666668,167.20833333333334,1240.0141666666666,1.2358333333333331,39.61375,22.34083333333333,184.9233333333333,77.92333333333333,Delhi
2022-05-04,159.15208333333334,208.24291666666667,1900.9120833333332,1.3220833333333333,63.861250000000005,26.672916666666666,142.37,80.76416666666667,Delhi
2022-05-05,198.30375,284.7416666666667,2533.4366666666665,17.68,65.04,28.36375,114.74833333333332,93.30166666666666,Delhi
2022-05-06,145.23041666666668,215.17625,2172.1129166666665,11.030833333333334,57.72541666666666,27.75958333333333,114.08833333333332,76.51208333333334,Delhi
2022-05-07,156.45291666666665,225.80916666666667,2460.2816666666668,14.545416666666666,57.625,31.23375,97.69416666666666,70.68041666666666,Delhi
2022-05-08,84.3275,112.71958333333332,972.1516666666666,0.7941666666666666,25.28958333333333,19.74375,156.92458333333337,41.78333333333333,Delhi
2022-05-09,75.1475,94.20208333333332,935.4354166666668,1.028333333333333,30.30333333333333,17.84875,154.49666666666667,61.69083333333333,Delhi
2022-05-10,111.5175,141.81541666666666,1418.8695833333334,0.8829166666666667,40.87,22.02875,121.95125,55.49208333333333,Delhi
2022-05-11,115.53249999999998,141.83625,1204.6895833333333,1.6129166666666668,31.3375,20.609166666666667,168.40625,53.28583333333333,Delhi
2022-05-12,126.99791666666664,160.00208333333333,1175.482083333333,0.7420833333333333,30.11708333333333,22.34583333333333,163.73458333333335,52.92958333333333,Delhi
2022-05-13,157.23416666666665,211.41208333333336,1835.26625,5.03875,49.959583333333335,27.68625,142.89791666666667,62.66458333333333,Delhi
2022-05-14,123.12125,176.97833333333332,1776.8541666666667,11.78625,47.64291666666667,25.171666666666667,122.32708333333332,61.3825,Delhi
2022-05-15,132.58791666666667,222.38958333333332,2672.0958333333333,31.677916666666665,59.65916666666666,32.02041666666667,67.15083333333334,65.31166666666667,Delhi
2022-05-16,157.66708333333335,301.1691666666666,1429.57625,0.4979166666666666,41.899166666666666,21.567916666666665,95.1025,46.39208333333334,Delhi
2022-05-17,205.30625,293.4841666666667,1709.5404166666667,6.0875,49.567083333333336,24.905833333333334,140.99208333333334,88.89041666666667,Delhi
2022-05-18,153.96458333333334,285.0708333333333,1602.450833333333,4.360833333333333,54.14333333333334,25.327916666666667,126.64875,71.83291666666666,Delhi
2022-05-19,156.88500000000002,297.4741666666667,1757.1049999999998,1.635,53.46541666666667,27.859583333333333,117.0025,65.37583333333333,Delhi
2022-05-20,147.45208333333332,264.63208333333336,1511.3558333333333,2.067916666666666,47.29624999999999,24.32583333333333,126.02,58.22416666666667,Delhi
2022-05-21,163.64166666666668,300.9316666666667,2203.68375,22.13583333333333,48.40958333333333,27.459166666666665,76.3575,53.95708333333334,Delhi
2022-05-22,120.66875,194.91458333333333,1021.6633333333332,2.89125,28.314166666666665,17.361250000000002,155.33,47.33708333333333,Delhi
2022-05-23,73.12458333333333,85.52625,919.0254166666668,1.2075,29.766666666666666,10.094583333333333,102.60958333333332,47.26541666666666,Delhi
2022-05-24,102.96166666666666,145.41625,1334.86625,1.680416666666667,42.72666666666667,14.030833333333334,107.38583333333332,53.743750000000006,Delhi
2022-05-25,256.00625,335.22125,3256.638333333334,17.822083333333335,77.25666666666667,26.83,124.74208333333333,91.96958333333332,Delhi
2022-05-26,282.05375,354.12583333333333,3608.227083333333,23.16125,79.84791666666668,34.40958333333334,142.13583333333332,85.15458333333333,Delhi
2022-05-27,104.57083333333333,193.21666666666667,1254.2012499999998,3.6441666666666666,38.35583333333333,19.669166666666666,98.23083333333334,38.77333333333333,Delhi
2022-05-28,101.09875,277.0858333333333,1275.75875,5.7175,41.45208333333333,20.6775,64.82791666666667,33.70708333333334,Delhi
2022-05-29,117.28208333333332,310.09375,1050.5916666666667,1.2641666666666669,31.980416666666667,20.98875,115.20625,39.65583333333333,Delhi
2022-05-30,207.34875,441.8004166666667,3010.4720833333336,25.62333333333333,80.14166666666667,44.06125,97.96541666666668,69.56833333333334,Delhi
2022-05-31,375.22375000000005,594.4758333333333,4799.8429166666665,32.2025,114.90666666666668,49.10666666666666,117.62958333333334,103.13583333333332,Delhi
2022-06-01,178.67880000000002,333.656,2156.2576,9.346,57.958400000000005,26.1328,94.39119999999998,55.0652,Delhi
2022-06-02,180.57375,347.68625,2843.022916666667,24.97875,72.67291666666667,33.222500000000004,77.5175,74.29625,Delhi
2022-06-03,169.53416666666666,306.0470833333333,2538.7208333333333,16.59208333333333,68.27083333333333,32.16625,97.43416666666668,74.85375,Delhi
2022-06-04,161.20125,270.3379166666667,2531.7670833333336,11.763333333333334,68.77708333333334,28.20583333333333,102.46916666666668,70.09458333333333,Delhi
2022-06-05,78.16250000000001,194.67,1558.9191666666666,15.539166666666668,47.10333333333333,23.46625,80.51416666666667,39.42875,Delhi
2022-06-06,121.02666666666666,291.52958333333333,2261.3995833333333,18.85458333333333,76.02875,37.285833333333336,81.16291666666667,63.9175,Delhi
2022-06-07,83.17458333333333,264.84375,887.1754166666666,1.1991666666666667,32.58083333333333,18.74125,92.30625,32.7875,Delhi
2022-06-08,51.05875,178.72625000000002,648.9358333333333,0.7366666666666667,25.69333333333333,14.780416666666667,93.62458333333332,25.416666666666668,Delhi
2022-06-09,91.30541666666666,284.06958333333336,1333.7529166666666,9.33875,47.925,21.30125,73.66,40.30625,Delhi
2022-06-10,99.15583333333336,274.87083333333334,1571.575833333333,14.806666666666668,40.30875,23.25916666666667,69.3,45.45708333333334,Delhi
2022-06-11,62.94833333333333,218.1825,695.2483333333333,0.55875,23.394166666666667,15.17375,72.7775,24.02583333333333,Delhi
2022-06-12,51.26499999999999,160.19375,728.4883333333333,0.7087500000000001,25.102500000000003,15.4875,68.85208333333334,25.83375,Delhi
2022-06-13,30.0475,85.55291666666666,489.13625,0.5804166666666667,17.489166666666666,11.510416666666666,83.80416666666666,21.532083333333333,Delhi
2022-06-14,21.01125,49.0925,442.54375,0.5266666666666667,14.15125,10.03875,81.95666666666666,17.7475,Delhi
2022-06-15,19.14708333333333,39.367916666666666,441.29333333333335,0.6570833333333334,14.158333333333331,9.244583333333331,86.03791666666666,17.021666666666665,Delhi
